Home ID,total_kwh_tahun,household_size,avg_temp,kwh_Air_Conditioning,kwh_Computer,kwh_Dishwasher,kwh_Fridge,kwh_Heater,kwh_Lights,kwh_Microwave,kwh_Oven,kwh_TV,kwh_Washing_Machine,prop_Air_Conditioning,prop_Computer,prop_Dishwasher,prop_Fridge,prop_Heater,prop_Lights,prop_Microwave,prop_Oven,prop_TV,prop_Washing_Machine,kwh_per_orang
1,324.76,3,13.632701421800947,77.7,26.32,18.13,5.48,76.29,24.75,21.55,29.0,15.61,29.93,0.23925360266042614,0.0810444636038921,0.05582584062076609,0.01687399926099273,0.2349119349673605,0.07621012439955659,0.06635669417415938,0.08929671141766227,0.048066264318265786,0.09216036457691833,108.25333333333333
2,311.52,3,15.357894736842105,56.81,26.06,14.78,5.13,80.53,27.98,16.52,33.4,27.32,22.99,0.1823638931689779,0.0836543400102722,0.04744478685156651,0.01646764252696456,0.2585066769388803,0.0898176682074987,0.053030303030303025,0.10721623009758602,0.0876990241397021,0.07379943502824857,103.83999999999999
3,332.06,5,13.097685185185185,73.05,24.47,22.26,6.37,80.36,19.53,39.51,17.95,23.46,25.1,0.21999036318737578,0.07369150153586701,0.06703607781726194,0.019183280130096972,0.2420044570258387,0.058814672047220386,0.11898452086972233,0.054056495814009516,0.07064988255134615,0.07558874902126123,66.412
4,262.56,5,13.543333333333335,67.3,21.09,20.37,6.67,58.37,12.02,13.450000000000001,14.24,22.7,26.35,0.25632236441194395,0.08032449725776965,0.07758226691042047,0.02540371724558196,0.2223110907982937,0.04578001218769043,0.05122638634978672,0.05423522242535039,0.08645642900670322,0.10035801340645949,52.512
5,297.07,1,13.954106280193237,68.13,28.580000000000002,22.52,9.52,72.13,21.74,15.3,26.419999999999998,15.69,17.04,0.22933988622210252,0.09620628134783049,0.07580704884370687,0.0320463190493823,0.2428047261588178,0.0731814050560474,0.05150301275793585,0.08893526778200424,0.05281583465176558,0.057360218130406974,297.07
6,333.99,1,14.275233644859814,69.26,27.98,22.78,6.4,103.7,26.56,21.45,18.96,10.870000000000001,26.03,0.20737147818796972,0.08377496332225516,0.06820563489924848,0.019162250366777447,0.31048833797419084,0.07952333902212641,0.06422347974490254,0.056768166711578194,0.03254588460732358,0.07793646516362765,333.99
7,312.81,3,16.121800947867296,82.17,15.219999999999999,21.49,5.08,61.730000000000004,22.37,33.56,23.78,25.13,22.28,0.2626834180492951,0.04865573351235575,0.06869984974904896,0.016239890029091146,0.1973402384834245,0.07151305904542696,0.10728557271186985,0.07602058757712352,0.08033630638406701,0.07122534445829738,104.27
8,301.21,1,14.687064676616915,76.86,21.17,29.91,5.3100000000000005,55.019999999999996,18.38,29.21,31.53,17.0,16.82,0.25517081106204975,0.07028319112911259,0.09929949204873677,0.017628896782975335,0.1826632581919591,0.06102055044653232,0.09697553202084926,0.10467779954184789,0.056439029248696926,0.05584143952724013,301.21
9,310.69,5,13.649999999999999,73.78,33.73,21.47,5.71,60.46,15.33,20.74,32.71,23.8,22.96,0.2374714345489073,0.10856480736425375,0.06910425182657955,0.018378447970645983,0.1945991180919888,0.04934178763397599,0.0667546428916283,0.10528179214007533,0.07660368856416364,0.07390002896778139,62.138
10,282.52,3,13.996315789473686,64.56,26.4,18.19,5.47,53.120000000000005,28.97,25.79,20.43,19.1,20.49,0.22851479541271413,0.09344471187880503,0.06438482231346453,0.019361461135494827,0.18802208693189862,0.10254141299730991,0.09128557270281748,0.07231346453348435,0.06760583321534758,0.07252583887866344,94.17333333333333
11,244.4,4,14.213333333333335,54.769999999999996,15.6,24.7,4.23,28.759999999999998,18.41,27.12,22.689999999999998,25.21,22.91,0.2240998363338789,0.06382978723404256,0.10106382978723405,0.017307692307692312,0.1176759410801964,0.07532733224222586,0.1109656301145663,0.09283960720130933,0.10315057283142391,0.09373977086743045,61.1
12,348.92,1,15.357013574660634,78.56,25.92,33.519999999999996,6.0200000000000005,91.98,19.17,32.86,19.71,24.75,16.43,0.22515189728304483,0.07428636936833659,0.09606786655966983,0.017253238564713974,0.2636134357445833,0.0549409606786656,0.09417631548779089,0.056488593373839276,0.07093316519546028,0.047088157743895444,348.92
13,314.83,5,15.084924623115578,89.46,16.0,20.009999999999998,7.01,71.13,16.59,23.45,27.44,16.23,27.51,0.284153352602992,0.05082107804211796,0.06355811072642377,0.022265984817202933,0.22593145507099066,0.05269510529492106,0.07448464250547913,0.0871581488422323,0.05155163103897341,0.08738049105866658,62.965999999999994
14,282.05,1,13.185641025641024,64.05,23.08,21.0,7.03,57.74,21.63,24.2,22.39,24.1,16.83,0.2270873958517993,0.08182946286119482,0.07445488388583585,0.024924658748448857,0.20471547597943626,0.07668853040241091,0.08580039000177273,0.07938308810494593,0.0854458429356497,0.05967027122850557,282.05
15,283.85,5,14.525842696629214,64.34,10.16,25.44,4.09,84.63,28.44,14.72,19.25,16.71,16.07,0.22666901532499564,0.03579355293288709,0.08962480183195351,0.01440901884798309,0.298150431565968,0.10019376431213671,0.051858375902765555,0.06781750924784218,0.058869121014620406,0.05661440901884799,56.77
16,286.48,4,15.985853658536586,66.34,26.24,17.69,6.85,58.61,18.16,18.44,24.26,24.81,25.08,0.2315693940240157,0.09159452666852835,0.061749511309690044,0.023910918737782744,0.20458670762356887,0.06339011449315834,0.06436749511309692,0.08468304942753423,0.08660290421669925,0.08754537838592573,71.62
17,314.85,1,13.140487804878049,67.94,20.28,31.02,6.7700000000000005,67.63,35.26,22.59,19.31,19.85,24.2,0.2157852945847229,0.06441162458313483,0.09852310624106718,0.021502302683817694,0.21480069874543434,0.11198983643004606,0.07174845164363984,0.06133079244084485,0.0630458948705733,0.07686199777671908,314.85
18,274.33,1,15.210309278350516,50.39,19.17,27.21,4.67,75.34,24.54,23.62,19.52,9.3,20.57,0.18368388437283564,0.06987934239784202,0.09918711041446435,0.017023293114132615,0.2746327415885977,0.08945430685670543,0.08610068166077353,0.07115517807020742,0.03390077643713776,0.07498268508730362,274.33
19,315.74,5,14.832258064516129,52.98,30.66,16.11,8.19,78.63,23.89,16.88,30.95,35.08,22.37,0.16779628808513336,0.0971052131500602,0.051022993602331035,0.025939063786659913,0.24903401532906824,0.0756635206182302,0.05346170900107684,0.09802369037815926,0.1111040729714322,0.07084943307784888,63.148
20,277.74,4,13.7489010989011,73.16,11.18,21.93,5.72,58.16,21.12,24.97,22.04,19.58,19.88,0.26341182400806507,0.040253474472528264,0.07895873838842082,0.020594800892921435,0.20940447900914522,0.07604234175847915,0.08990422697486858,0.07935479225174623,0.07049758767192338,0.07157773457190177,69.435
21,300.53,5,15.157075471698114,81.97,13.5,16.49,8.28,52.23,33.65,24.23,23.53,31.65,15.0,0.2727514723987622,0.04492064020230926,0.0548697301434133,0.027551325990749675,0.1737929657604898,0.11196885502279307,0.08062423052607062,0.07829501214521013,0.1053139453631917,0.049911822447010284,60.105999999999995
22,303.5,1,16.71014492753623,81.53,22.09,21.49,5.31,58.04,22.37,20.98,19.46,19.97,32.26,0.2686326194398682,0.0727841845140033,0.07080724876441515,0.017495881383855022,0.1912355848434926,0.07370675453047776,0.06912685337726523,0.06411861614497529,0.0657990115321252,0.10629324546952224,303.5
23,312.69,4,15.308292682926828,73.42999999999999,13.83,20.490000000000002,5.92,80.46,26.02,16.56,29.63,22.03,24.32,0.23483322140138793,0.04422910870190924,0.06552815887940133,0.01893248904665963,0.25731555214429624,0.0832134062490006,0.05295980044133167,0.09475838690076434,0.0704531644759986,0.07777671175925038,78.1725
